"Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Deck","Side"
"No","3","male",22,1,0,7.25,"S","Mr",NA,NA
"Yes","1","female",38,1,0,71.2833,"C","Mrs","C","Port"
"Yes","3","female",26,0,0,7.925,"S","Miss",NA,NA
"Yes","1","female",35,1,0,53.1,"S","Mrs","C","Port"
"No","3","male",35,0,0,8.05,"S","Mr",NA,NA
"No","3","male",30,0,0,8.4583,"Q","Mr",NA,NA
"No","1","male",54,0,0,51.8625,"S","Mr","E","Starboard"
"No","3","male",2,3,1,21.075,"S","Master",NA,NA
"Yes","3","female",27,0,2,11.1333,"S","Mrs",NA,NA
"Yes","2","female",14,1,0,30.0708,"C","Mrs",NA,NA
"Yes","3","female",4,1,1,16.7,"S","Miss","G","Starboard"
"Yes","1","female",58,0,0,26.55,"S","Miss","C","Port"
"No","3","male",20,0,0,8.05,"S","Mr",NA,NA
"No","3","male",39,1,5,31.275,"S","Mr",NA,NA
"No","3","female",14,0,0,7.8542,"S","Miss",NA,NA
"Yes","2","female",55,0,0,16,"S","Mrs",NA,NA
"No","3","male",2,4,1,29.125,"Q","Master",NA,NA
"Yes","2","male",30,0,0,13,"S","Mr",NA,NA
"No","3","female",31,1,0,18,"S","Mrs",NA,NA
"Yes","3","female",35,0,0,7.225,"C","Mrs",NA,NA
"No","2","male",35,0,0,26,"S","Mr",NA,NA
"Yes","2","male",34,0,0,13,"S","Mr","D","Starboard"
"Yes","3","female",15,0,0,8.0292,"Q","Miss",NA,NA
"Yes","1","male",28,0,0,35.5,"S","Mr","A","Starboard"
"No","3","female",8,3,1,21.075,"S","Miss",NA,NA
"Yes","3","female",38,1,5,31.3875,"S","Mrs",NA,NA
"No","3","male",30,0,0,7.225,"C","Mr",NA,NA
"No","1","male",19,3,2,263,"S","Mr","C","Port"
"Yes","3","female",21,0,0,7.8792,"Q","Miss",NA,NA
"No","3","male",30,0,0,7.8958,"S","Mr",NA,NA
"No","1","male",40,0,0,27.7208,"C","Noble",NA,NA
"Yes","1","female",35,1,0,146.5208,"C","Mrs","B","Starboard"
"Yes","3","female",21,0,0,7.75,"Q","Miss",NA,NA
"No","2","male",66,0,0,10.5,"S","Mr",NA,NA
"No","1","male",28,1,0,82.1708,"C","Mr",NA,NA
"No","1","male",42,1,0,52,"S","Mr",NA,NA
"Yes","3","male",30,0,0,7.2292,"C","Mr",NA,NA
"No","3","male",21,0,0,8.05,"S","Mr",NA,NA
