"variable";"level";"anteil_absolut";"anteil_relativ";"n_fehlend";"n_total"
"Deck";"A";15;0,017;687;891
"Deck";"B";47;0,053;687;891
"Deck";"C";59;0,066;687;891
"Deck";"D";33;0,037;687;891
"Deck";"E";32;0,036;687;891
"Deck";"F";13;0,015;687;891
"Deck";"G";4;0,004;687;891
"Deck";"T";1;0,001;687;891
"Deck";NA;687;0,771;687;891
"Sex";"female";314;0,352;0;891
"Sex";"male";577;0,648;0;891
"Embarked";"C";168;0,189;2;891
"Embarked";"Q";77;0,086;2;891
"Embarked";"S";644;0,723;2;891
"Embarked";NA;2;0,002;2;891
"Side";"Port";90;0,101;691;891
"Side";"Starboard";110;0,123;691;891
"Side";NA;691;0,776;691;891
"Survived";"No";549;0,616;0;891
"Survived";"Yes";342;0,384;0;891
"Title";"Master";40;0,045;0;891
"Title";"Miss";185;0,208;0;891
"Title";"Mr";517;0,58;0;891
"Title";"Mrs";126;0,141;0;891
"Title";"Noble";5;0,006;0;891
"Title";"Officer";18;0,02;0;891
"Pclass";"1";216;0,242;0;891
"Pclass";"2";184;0,207;0;891
"Pclass";"3";491;0,551;0;891
