"variable";"level";"n_total";"absolut_ja";"absolut_nein";"relativ_ja";"relativ_nein"
"Pclass";"1";216;136;80;0,63;0,37
"Pclass";"2";184;87;97;0,473;0,527
"Pclass";"3";491;119;372;0,242;0,758
"Pclass";NA;0;0;0;NA;NA
"Sex";"female";314;233;81;0,742;0,258
"Sex";"male";577;109;468;0,189;0,811
"Sex";NA;0;0;0;NA;NA
"Embarked";"C";168;93;75;0,554;0,446
"Embarked";"Q";77;30;47;0,39;0,61
"Embarked";"S";644;217;427;0,337;0,663
"Embarked";NA;2;2;0;1;0
"Title";"Master";40;23;17;0,575;0,425
"Title";"Miss";185;130;55;0,703;0,297
"Title";"Mr";517;81;436;0,157;0,843
"Title";"Mrs";126;100;26;0,794;0,206
"Title";"Noble";5;3;2;0,6;0,4
"Title";"Officer";18;5;13;0,278;0,722
"Title";NA;0;0;0;NA;NA
"Deck";"A";15;7;8;0,467;0,533
"Deck";"B";47;35;12;0,745;0,255
"Deck";"C";59;35;24;0,593;0,407
"Deck";"D";33;25;8;0,758;0,242
"Deck";"E";32;24;8;0,75;0,25
"Deck";"F";13;8;5;0,615;0,385
"Deck";"G";4;2;2;0,5;0,5
"Deck";"T";1;0;1;0;1
"Deck";NA;687;206;481;0,3;0,7
"Side";"Port";90;66;24;0,733;0,267
"Side";"Starboard";110;68;42;0,618;0,382
"Side";NA;691;208;483;0,301;0,699
